Incident-id,Date(dd/mm/yr),Animal,village,District,State,Victim age,Victim outcome,Incident details,Source url,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,lat,lon,elevation,dist_water,dist_forest,dist_village
214,08-08-25,Tiger,girijapuri,bahraich,Uttar pradesh,10yr,injured,She was attacked by the tiger along her grandmother,"UP: Tiger injures woman, her niece, reappears to attack bank employee; alert issued | Lucknow News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5982305820534,81.567451084856,702,1006,487,717
215,08-08-25,Tiger,bichhiya,bahraich,Uttar pradesh,55yr,injured,The tiger attacked the man and disappeared,"UP: Tiger injures woman, her niece, reappears to attack bank employee; alert issued | Lucknow News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.58750619356377,81.57014855648258,606,1754,1260,734
217,19/09/25,Tiger,bichhiya,bahraich,Uttar pradesh,--,injured,"He was riding his bike and as he reached the stretch between Bichhia and Girijapur, a tiger attacked him ",Two injured in separate tiger attacks in Bahraich | Lucknow News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.613965575982732,81.60579071650417,773,210,896,1407
218,19/09/25,Tiger,bichhiya,bahraich,Uttar pradesh,--,injured,He was riding his bike when the tiger attacked him,Two injured in separate tiger attacks in Bahraich | Lucknow News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.54913995366358,81.61892767856175,298,1653,1295,1587
220,16/10/25,Tiger,badagalapura,mysuru,Karnataka,34yr,injured," A tiger burst out of the bushes, its powerful stride tearing through the field, sending men scrambling up trees in sheer terror",It came out of the bushes like fire: Tiger attack caught on cam leaves Mysuru farmer fighting for life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.338526692563947,76.64736095641157,746,2898,1212,850
222,23/10/25,Elephant,kadamparai,coimbatore,Tamil nadu,37yr,injured,"The man was returning back home,When he reached near Soodakkadu under the Kadamparai forest area, an elephant from a herd attacked him",Wild elephant attacks tribal man in Valparai | Coimbatore News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.982323308215962,76.94886914880317,661,447,703,1529
229,06-04-23,Elephant,boluvampatti,coimbatore,Tamil nadu,40yr,Dead,He  was killed in an elephant attack near the reserve forest in Boluvampatti forest range,Man Killed In Elephant Attack | Coimbatore News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.975874154342032,76.90040333340272,204,1350,1470,1390
231,21/01/23,leopard,horalahalli,mysuru,Karnataka,11yr,Dead,He was attacked by the leopard when he went with him family to guard the maze field,Mysuru: Boy killed in suspected leopard attack in T.Narsipura taluk - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.334792461695367,76.66415243101885,417,865,580,143
232,11-4-23,Tiger,lakhimpur,kheri,Uttar pradesh,16yr,injured,He was grazing his goats near the Mohammadi forest range when a tiger attacked him,16-year-old boy injured in tiger attack in Lakhimpur Kheri | Lucknow News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.890249057388942,80.77761593598579,702,1577,789,884
236,30/04/23,Tiger,bojhwa,kheri,Uttar pradesh,45yr,Dead,"He was working in his sugarcane field when the tiger pounced on him, causing severe injuries on his neck","UP Tiger Attack: Sixth tiger attack in UP's Lakhimpur Kheri in 22 days; farmer, 45, critical | Bareilly News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.918571321509095,80.80996429460502,597,1969,860,1092
